port|end|dir_p|amount|length for each|start|dir_st
1|3|1, 0|3|1:3|1, -9|-1, 1
4|9|1, 0|6|2*5, 3|4, -9|-1, 1
10|10|N/A|1|1|0, -5|1, -1
11|14|1, 0|4|1:4|1, -5|-1, 1
15|58|1, 0|44|5, 9*43|0, 0|1, -1
59|84|1, 0|26|19:17, 17*7, 16:1|44, 0|1, -1
85|91|1, 0|7|1:7|32, -23|-1, 1
92|113|1, 0|22|8*22|31, -15|1, -1
114|115|1, 0|2|9:10|61, -23|-1, 1
116|136|1, 0|21|1:9, 21:24, 5*8|64, -33|-1, 1
137|148|1, 0|12|9*8, 13:10|63, -19|1, -1
149|157|1, 0|9|3, 2*4, 4:1|75, -19|1, -1
158|160|1, 0|3|5:3|79, -23|1, -1
161|161|N/A|1|3|81, -22|1, -1
162|162|N/A|1|3|84, -24|-1, 1
163|174|1, 0|12|1:12|5, -29|-1, 1
175|175|N/A|1|12|4, -16|1, -1
176|187|1, 0|12|12:1|4, -15|1, -1
