port,end,dir_p,amount,length for each,start,dir_st
15,46,1^ 0,32,5^ 9x31,0^ 0,"""1^ -1"""
1,3,1^ 0,3,1^ 2^ 3,1^ -9,"""-1^ 1"""
4,9,1^ 0,6,2^ 2^ 2^ 2^ 3^ 4,4^ -9,"""-1^ 1"""
10,10,N/A,1,1,0^ -5,"""1^ -1"""
11,14,1^ 0,4,1^ 2^ 3^ 4,1^ -5,"""-1^ 1"""
193,193,N/A,1,12,4^ -16,"""1^ -1"""
181,192,1^ 0,12,1^ 2^ 3^ 4^ 5^ 6^ 7^ 8^ 9^ 10^ 11^ 12,5^ -29,"""-1^ 1"""
194,205,1^ 0,12,12^ 11^ 10^ 9^ 8^ 7^ 6^ 5^ 4^ 3^ 2^ 1,4^ -15,"""1^ -1"""
47,58,1^ 0,12,9x12,32^ 0,"""1^ -1"""
59,84,1^ 0,26,11x14^ 12^ 11^ 10^ 9^ 8^ 7^ 6^ 5^ 4^ 3^ 2^ 1,44^ 0,"""1^ -1"""
106,127,1^ 0,22,8x22,31^ -15,"""1^ -1"""
85,98,1^ 0,14,8^ 7^ 6^ 6x7^ 5^ 4^ 3^ 2,55^ -11,"""1^ -1"""
99,105,1^ 0,7,1^ 2^ 3^ 4^ 5^ 6^ 7,32^ -23,"""-1^ 1"""
128,129,1^ 0,2,9^ 10,61^ -23,"""-1^ 1"""
155,166,1^ 0,12,9^ 9^ 9^ 9^ 9^ 9^ 9^ 9^ 13^ 12^ 11^ 10^ ,63^ -19,"""1^ -1"""
167,175,1^ 0,9,3^ 2^ 2^ 2^ 2^ 4^ 3^ 2^ 1,75^ -19,"""1^ -1"""
151,152,1^ 0,2,11^ 11,63^ -23,"""-1^ 1"""
153,153,N/A,1,12,64^ -22,"""-1^ 1"""
154,154,N/A,1,12,64^ -21,"""-1^ 1"""
176,178,1^ 0,3,5^ 4^ 3,79^ -23,"""1^ -1"""
179,179,N/A,1,3,81^ -22,"""1^ -1"""
180,180,N/A,1,3,84^ -24,"""-1^ 1"""
130,150,1^ 0,21,1^ 2^ 3^ 4^ 5^ 6^ 7^ 8^ 9^ 10^ 11^ 11^ 12^ 5^ 5^ 5^ 5^ 5^ 5^ 5^ 5,64^ -33,"""-1^ 1"""
