"X0 , Y0 : initial point , ANG0 : main angle relative to X=0 ",,,,,,
"length : total tube pixels, Pend : 1 ( change port) , Dend : 1 ( change DSBX)",,,,,,
ID,X0,Y0,ANG0,length,Pend,Dend,
1,0,160,135,73,0,0,
2,0,80,-45,73,0,0,
3,80,160,-45,76,0,0,
4,160,160,135,76,0,0,
5,80,80,135,76,0,0,
6,0,0,135,73,0,0,
7,80,0,-45,76,0,0,
8,160,80,-45,76,0,0,
9,160,0,135,76,0,0,
10,290,0,-45,76,0,0,
11,290,80,135,76,0,0,
12,290,160,-45,76,1,0,
1,290,0,-45,76,0,0,
2,290,80,135,76,0,0,
3,290,160,-45,76,1,1,
1,0,160,135,73,0,0,
2,0,80,-45,73,0,0,
3,80,160,-45,76,0,0,
4,160,160,135,76,0,0,
5,80,80,135,76,0,0,
6,0,0,135,73,0,0,
7,80,0,-45,76,0,0,
8,160,80,-45,76,0,0,
9,160,0,135,76,0,0,
10,290,0,-45,76,0,0,
11,290,80,135,76,0,0,
12,290,160,-45,76,1,0,
1,290,0,-45,76,0,0,
2,290,80,135,76,0,0,
3,290,160,-45,76,1,1,
