"X0 , Y0 : initial point , ANG0 : main angle relative to X=0 ",,,,,,,
"length : total tube pixels, Pend : 1 ( change port) , Dend : 1 ( change DSBX)",,,,,,,
ID,X0,Y0,ANG0,length,Pend,Dend,
1,0,640,135,42,1,0,
1,0,560,135,83,0,0,
2,83,643,135,35,0,0,
1,0,480,135,83,0,0,
2,83,563,135,76,0,0,
3,159,639,135,35,0,0,
1,0,400,135,83,0,0,
2,83,483,135,76,0,0,
3,159,559,135,76,0,0,
4,235,635,135,35,0,0,
1,0,320,135,83,1,0,
2,83,403,135,76,0,0,
3,159,479,135,76,0,0,
4,235,555,135,76,0,0,
5,311,631,135,35,0,0,
1,0,240,135,83,0,0,
2,83,323,135,76,0,0,
3,159,399,135,76,0,0,
4,235,475,135,76,0,0,
5,311,551,135,76,0,0,
6,387,627,135,35,0,0,
1,0,160,135,83,0,0,
2,83,243,135,76,0,0,
3,159,319,135,76,0,0,
4,235,395,135,76,0,0,
5,311,471,135,76,0,0,
6,387,547,135,76,0,0,
7,463,623,135,35,0,0,
1,0,80,135,83,0,0,
2,83,163,135,76,0,0,
3,159,239,135,76,0,0,
4,235,315,135,76,0,0,
5,311,391,135,76,0,0,
6,387,467,135,76,0,0,
7,463,543,135,76,0,0,
8,539,619,135,35,0,0,
